Source:,/home/rafael/devel/mod-hw-foot/MOD_Foot_Prototype1/MOD_Foot_Prototype1.sch
Date:,Ter 03 Jun 2014 11:18:08 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,86

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,100uF,MOD_Foot_Prototype1:CP1,CAP_RAD_5MM,
,,C10,18pF_NP0,MOD_Foot_Prototype1:C,SM0603,
,,C11,18pF_NP0,MOD_Foot_Prototype1:C,SM0603,
,,C12,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C13,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C14,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C15,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C16,100uF,MOD_Foot_Prototype1:CP1,CAP_RAD_5MM,
,,C17,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C2,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C3,100uF,MOD_Foot_Prototype1:CP1,CAP_RAD_5MM,
,,C4,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C5,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C6,100uF,MOD_Foot_Prototype1:CP1,CAP_RAD_5MM,
,,C7,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C8,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,C9,100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
,,CN1,CONN_PANNEL_2X2,MOD_Foot_Prototype1:CONN_PANNEL_2X2,CONN_PANNEL,
,,CN2,CONN_PANNEL_2X2,MOD_Foot_Prototype1:CONN_PANNEL_2X2,CONN_PANNEL,
,,D1,CGRA4007-G,MOD_Foot_Prototype1:DIODE,DO-214AC(SMA),
,,D4,1N4148,MOD_Foot_Prototype1:DIODE,SOD323,
,,FOOT1,HEADER_2X1_180,MOD_Foot_Prototype1:CONN_2,PIN_ARRAY_2X1,
,,FOOT2,HEADER_2X1_180,MOD_Foot_Prototype1:CONN_2,PIN_ARRAY_2X1,
,,FOOT3,HEADER_2X1_180,MOD_Foot_Prototype1:CONN_2,PIN_ARRAY_2X1,
,,FOOT4,HEADER_2X1_180,MOD_Foot_Prototype1:CONN_2,PIN_ARRAY_2X1,
,,J1,RJ45_CHAIN,MOD_Foot_Prototype1:RJ45_CHAIN,RJ45-RJHSE5084,
,,J2,RJ45_CHAIN,MOD_Foot_Prototype1:RJ45_CHAIN,RJ45-RJHSE5084,
,,LCD1,AGM-2004A-204,MOD_Foot_Prototype1:AGM-2004A-204,LCD-AGM-2004A-204,
,,LED1,LED_RGB,MOD_Foot_Prototype1:LED_RGB,LED_CLRTB_GFSF_1,
,,LED2,LED_RGB,MOD_Foot_Prototype1:LED_RGB,LED_CLRTB_GFSF_1,
,,LED3,LED_RGB,MOD_Foot_Prototype1:LED_RGB,LED_CLRTB_GFSF_1,
,,LED4,LED_RGB,MOD_Foot_Prototype1:LED_RGB,LED_CLRTB_GFSF_1,
,,P1,HEADER_5X1,MOD_Foot_Prototype1:CONN_5,PIN_ARRAY_5x1,
,,P2,HEADER_5X2,MOD_Foot_Prototype1:CONN_5X2,PIN_ARRAY_5x2,
,,Q1,MMBT3904,MOD_Foot_Prototype1:NPN,SOT23,
,,Q2,MMBT3904,MOD_Foot_Prototype1:NPN,SOT23,
,,Q3,MMBT3904,MOD_Foot_Prototype1:NPN,SOT23,
,,R1,1k,MOD_Foot_Prototype1:R,SM0603,
,,R10,10k,MOD_Foot_Prototype1:R,SM0603,
,,R11,120R,MOD_Foot_Prototype1:R,SM0805,
,,R12,10R,MOD_Foot_Prototype1:R,SM0805,
,,R13,10R,MOD_Foot_Prototype1:R,SM0805,
,,R14,1k,MOD_Foot_Prototype1:R,SM0603,
,,R15,1k,MOD_Foot_Prototype1:R,SM0603,
,,R16,1k,MOD_Foot_Prototype1:R,SM0603,
,,R17,1k,MOD_Foot_Prototype1:R,SM0603,
,,R18,1k,MOD_Foot_Prototype1:R,SM0603,
,,R19,1k,MOD_Foot_Prototype1:R,SM0603,
,,R2,1k,MOD_Foot_Prototype1:R,SM0603,
,,R20,1k,MOD_Foot_Prototype1:R,SM0603,
,,R21,1k,MOD_Foot_Prototype1:R,SM0603,
,,R22,1k,MOD_Foot_Prototype1:R,SM0603,
,,R23,1k,MOD_Foot_Prototype1:R,SM0603,
,,R24,1k,MOD_Foot_Prototype1:R,SM0603,
,,R25,1k,MOD_Foot_Prototype1:R,SM0603,
,,R26,0R,MOD_Foot_Prototype1:R,SM0805,
,,R27,1k,MOD_Foot_Prototype1:R,SM0603,
,,R28,1k,MOD_Foot_Prototype1:R,SM0603,
,,R29,10k,MOD_Foot_Prototype1:R,SM0603,
,,R3,470R,MOD_Foot_Prototype1:R,SM0805,
,,R30,10k,MOD_Foot_Prototype1:R,SM0603,
,,R31,10k,MOD_Foot_Prototype1:R,SM0603,
,,R32,10k,MOD_Foot_Prototype1:R,SM0603,
,,R33,10k,MOD_Foot_Prototype1:R,SM0603,
,,R34,3k,MOD_Foot_Prototype1:R,SM0805,
,,R35,330R,MOD_Foot_Prototype1:R,SM0805,
,,R36,1k,MOD_Foot_Prototype1:R,SM0603,
,,R37,0R,MOD_Foot_Prototype1:R,SM0805,
,,R38,0R,MOD_Foot_Prototype1:R,SM0805,
,,R39,0R,MOD_Foot_Prototype1:R,SM0805,
,,R4,470R,MOD_Foot_Prototype1:R,SM0805,
,,R40,100R,MOD_Foot_Prototype1:R,SM0603,
,,R41,100R,MOD_Foot_Prototype1:R,SM0603,
,,R5,470R,MOD_Foot_Prototype1:R,SM0805,
,,R6,470R,MOD_Foot_Prototype1:R,SM0805,
,,R7,10k,MOD_Foot_Prototype1:R,SM0603,
,,R8,10k,MOD_Foot_Prototype1:R,SM0603,
,,R9,10k,MOD_Foot_Prototype1:R,SM0603,
,,RT1,PTC_FUSE_500mA,MOD_Foot_Prototype1:FUSE,SM2920,
,,U1,LPC111X_LQFP48,MOD_Foot_Prototype1:LPC111X_LQFP48,LQFP48,
,,U2,MC7805,MOD_Foot_Prototype1:LINEAR_REGULATOR_DPAK_3P,DPAK(369C),
,,U3,NCP1117DT33G,MOD_Foot_Prototype1:NCP1117DT33G,DPAK(369C),
,,U4,SN75176BDR,MOD_Foot_Prototype1:SN75176BDR,SO8E,
,,U5,74HC245,MOD_Foot_Prototype1:74HC245,TSSOP20,
,,U6,74HC245,MOD_Foot_Prototype1:74HC245,TSSOP20,
,,X1,10MHz,MOD_Foot_Prototype1:CRYSTAL,HC_49US,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,4,"C1, C16, C3, C6",100uF,MOD_Foot_Prototype1:CP1,CAP_RAD_5MM,
2,2,"C10, C11",18pF_NP0,MOD_Foot_Prototype1:C,SM0603,
3,11,"C12, C13, C14, C15, C17, C2, C4, C5, C7, C8, C9",100nF_X7R,MOD_Foot_Prototype1:C,SM0603,
4,2,"CN1, CN2",CONN_PANNEL_2X2,MOD_Foot_Prototype1:CONN_PANNEL_2X2,CONN_PANNEL,
5,1,D1,CGRA4007-G,MOD_Foot_Prototype1:DIODE,DO-214AC(SMA),
6,1,D4,1N4148,MOD_Foot_Prototype1:DIODE,SOD323,
7,4,"FOOT1, FOOT2, FOOT3, FOOT4",HEADER_2X1_180,MOD_Foot_Prototype1:CONN_2,PIN_ARRAY_2X1,
8,2,"J1, J2",RJ45_CHAIN,MOD_Foot_Prototype1:RJ45_CHAIN,RJ45-RJHSE5084,
9,1,LCD1,AGM-2004A-204,MOD_Foot_Prototype1:AGM-2004A-204,LCD-AGM-2004A-204,
10,4,"LED1, LED2, LED3, LED4",LED_RGB,MOD_Foot_Prototype1:LED_RGB,LED_CLRTB_GFSF_1,
11,1,P1,HEADER_5X1,MOD_Foot_Prototype1:CONN_5,PIN_ARRAY_5x1,
12,1,P2,HEADER_5X2,MOD_Foot_Prototype1:CONN_5X2,PIN_ARRAY_5x2,
13,3,"Q1, Q2, Q3",MMBT3904,MOD_Foot_Prototype1:NPN,SOT23,
14,17,"R1, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R27, R28, R36",1k,MOD_Foot_Prototype1:R,SM0603,
15,9,"R10, R29, R30, R31, R32, R33, R7, R8, R9",10k,MOD_Foot_Prototype1:R,SM0603,
16,1,R11,120R,MOD_Foot_Prototype1:R,SM0805,
17,2,"R12, R13",10R,MOD_Foot_Prototype1:R,SM0805,
18,4,"R26, R37, R38, R39",0R,MOD_Foot_Prototype1:R,SM0805,
19,4,"R3, R4, R5, R6",470R,MOD_Foot_Prototype1:R,SM0805,
20,1,R34,3k,MOD_Foot_Prototype1:R,SM0805,
21,1,R35,330R,MOD_Foot_Prototype1:R,SM0805,
22,2,"R40, R41",100R,MOD_Foot_Prototype1:R,SM0603,
23,1,RT1,PTC_FUSE_500mA,MOD_Foot_Prototype1:FUSE,SM2920,
24,1,U1,LPC111X_LQFP48,MOD_Foot_Prototype1:LPC111X_LQFP48,LQFP48,
25,1,U2,MC7805,MOD_Foot_Prototype1:LINEAR_REGULATOR_DPAK_3P,DPAK(369C),
26,1,U3,NCP1117DT33G,MOD_Foot_Prototype1:NCP1117DT33G,DPAK(369C),
27,1,U4,SN75176BDR,MOD_Foot_Prototype1:SN75176BDR,SO8E,
28,2,"U5, U6",74HC245,MOD_Foot_Prototype1:74HC245,TSSOP20,
29,1,X1,10MHz,MOD_Foot_Prototype1:CRYSTAL,HC_49US,
